k,start,end
1,2020-02-01,2020-02-07
1,2020-02-08,2020-02-14
1,2020-02-22,2020-02-28
1,2020-02-29,2020-03-06
1,2020-03-21,2020-03-27
1,2020-04-11,2020-04-17
1,2020-05-02,2020-05-08
1,2020-05-09,2020-05-15
1,2020-05-30,2020-06-05
1,2020-07-18,2020-07-24
1,2020-12-12,2020-12-18
1,2021-01-16,2021-01-22
1,2021-04-24,2021-04-30
1,2021-05-17,2021-05-21
1,2021-06-14,2021-06-18
2,2020-02-08,2020-02-14
2,2020-03-14,2020-03-20
2,2020-03-21,2020-03-27
2,2020-05-02,2020-05-08
2,2020-06-27,2020-07-03
2,2020-08-29,2020-09-04
2,2021-01-16,2021-01-22
2,2021-01-30,2021-02-05
2,2021-03-23,2021-03-26
2,2021-05-17,2021-05-21
2,2021-07-10,2021-07-15
2,2021-07-27,2021-07-30
3,2020-02-29,2020-03-06
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
3,2020-03-28,2020-04-03
3,2020-04-11,2020-04-17
3,2020-06-20,2020-06-26
3,2020-06-27,2020-07-03
3,2020-07-18,2020-07-24
3,2020-09-26,2020-10-02
3,2021-03-02,2021-03-04
4,2020-02-08,2020-02-14
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-04-04,2020-04-10
4,2021-04-18,2021-04-23
4,2021-07-10,2021-07-15
4,2021-07-27,2021-07-30
5,2020-02-01,2020-02-07
5,2020-02-29,2020-03-06
5,2020-03-07,2020-03-13
5,2020-03-21,2020-03-27
5,2020-04-04,2020-04-10
5,2020-05-02,2020-05-08
5,2020-08-01,2020-08-07
5,2020-08-15,2020-08-21
5,2020-08-29,2020-09-04
5,2020-09-05,2020-09-11
5,2020-11-07,2020-11-13
5,2020-11-21,2020-11-27
5,2020-12-19,2020-12-23
5,2021-01-23,2021-01-29
5,2021-05-17,2021-05-21
5,2021-05-24,2021-05-28
5,2021-07-27,2021-07-30
6,2020-02-08,2020-02-14
6,2020-02-15,2020-02-21
6,2020-02-22,2020-02-28
6,2020-03-21,2020-03-27
