"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","oms","oms","oms","europeu","europeu","europeu","europeu","trump","trump","trump","trump","trump","trump","trump","chinar","vacinar","oms","oms","brasileiro","medicamentar","vacinar","of","oms","eua","vacinar","bolsonaro","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacina","vacinar","vacinar","vacinar","dosar","vacinar","vacinar","vacina","vacinar","vacinar","vacinar","vacinar","dosar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","europeu","vacinar","vacinar","vacinar","vacinar","vacina","países","europeu","áfrica","europeu","europeu","milhões","vacina","vacina","vacina","dosar","moderno","dosar","dosar","dosar","vacinar","dosar","dosar","vacinar","dosar","vacina","europeu","europeu","áfrica","variante","aberto"
"2","saúde","europeu","epidemiar","oms","comissão","greve","trump","europeu","donald","johnson","donald","oms","eua","oms","oms","trump","cummings","vacinar","oms","oms","trump","medicamentar","brasil","vacinar","resultado","vacinar","oms","brasil","vacina","oms","vacina","dosar","vacina","estudar","gripar","dosar","tratamento","farmácias","vacina","países","coronavac","vacina","vacina","vacinar","vacina","vacina","pfizer","vacinar","dosar","dosar","vacinar","vacinação","dosar","vacina","dosar","vacinar","dosar","dosar","astrazeneca","vacina","dosar","astrazeneca","johnson","johnson","dosar","europeu","vacinar","dosar","astrazeneca","ano","vacina","europeu","mundo","variante","variante","agência","estudar","países","milhões","dosar","dosar","vacinar","vacinar","vacina","vacina","vacinar","dosar","vacina","vacina","contra","vacinar","dosar","vacina","medicamentar","variante","áfrica","abrir"
"3","organização","ue","mundial","estadosmembros","coi","refugiado","parlamentar","jogo","estado","bori","governador","donald","johnson","donald","trump","chinar","the","of","mundial","organização","oms","gripar","organização","trump","vacina","jair","contra","desenvolver","dosar","investigador","oms","vacina","oms","vacina","vacinação","tratamento","doente","gripar","farmácias","vacina","pfizer","dosar","vacinação","vacinação","dosar","dosar","vacina","vacinação","vacina","vacina","vacinação","vacina","vacina","dosar","vacina","vacina","vacina","astrazeneca","dosar","astrazeneca","astrazeneca","dosar","astrazeneca","ema","vacina","astrazeneca","dosar","astrazeneca","dosar","conmebol","contra","estado","oms","vacina","delta","vacina","agência","butantan","dosar","receber","estudar","vacina","vacina","vacinar","milhões","anticorpo","vacina","moderno","vacinar","dosar","oms","entregar","medicamentar","vacinar","sul","países","acabar"
"4","países","reunião","internacional","ue","união","cgtp","comissão","donald","eua","eua","johnson","governador","donald","eua","unir","oms","brasil","estudar","organização","vacinar","organização","vacinar","mundial","investigação","universidade","tecnologia","república","contra","contra","fase","testar","fase","mundial","desenvolver","vacina","anticorpo","anticorpo","vacinação","vacinação","destinar","brasil","pfizer","eficácia","dosar","pfizer","contra","dosar","pfizer","europeu","contra","contra","astrazeneca","vacinação","astrazeneca","europeu","vacinação","europeu","vacina","europeu","europeu","vacina","ema","europeu","astrazeneca","astrazeneca","vacina","astrazeneca","anticorpo","contra","dosar","europeu","vacinar","unido","contra","reações","vacinar","medicamentar","europeu","astrazeneca","vacinar","países","terceirar","dosar","contra","países","vacina","países","contra","europeu","vacina","mundial","contra","crianças","crianças","países","ómicron","aceitar"
"5","mundial","organização","mundo","comissão","oms","ministro","ue","atleta","unido","donald","eua","unido","unido","vírus","johnson","the","hidroxicloroquina","the","brasil","mundial","suécia","oms","unido","antar","voluntários","testar","organização","dosar","vacinação","contra","estudar","europeu","dosar","contra","contra","fármaco","vacina","vacina","desenvolver","chinãªs","vacina","governador","dosar","pfizer","vacinação","pfizer","vacinação","europeu","moderno","vacinação","vacinado","europeu","europeu","contra","contra","europeu","vacinação","europeu","vacina","dosar","receber","europeu","coágulos","europeu","unido","dosar","biontech","johnson","johnson","vacina","unido","mundo","vacina","união","agência","países","vacina","vacina","euro","moderno","vacinar","administração","lotar","terceirar","europeu","unido","contra","crianças","reforço","ano","medicamentar","vacinar","mundial","vacina","botswana","sul","acelerar"
"6","emergência","mundial","europeu","organização","tóquio","bruxelas","união","adiamento","mundial","oms","britânico","mundial","estado","johnson","bolsonaro","donald","unido","hidroxicloroquina","bolsonaro","cientista","dimitrov","remdesivir","bolsonaro","coronavírus","partir","brasileiro","comité","brasileiro","fase","primeiro","fase","desenvolver","oxford","empresar","fase","divulgar","medicamentar","contra","contra","gripar","eficácia","vacinação","contra","reinar","contra","autorização","milhões","vacina","contra","milhões","europeu","contra","astrazeneca","europeu","vacinação","milhões","receber","contra","medicamentar","contra","europeu","coágulos","agência","dosar","pfizer","contra","vacina","europeu","ano","contra","estado","unido","europeu","estudar","países","organização","vacinar","medicamentar","países","organização","podar","biden","europeu","áfrica","reforço","contra","eua","usar","medicamentar","mundial","milhões","mundial","moderno","euro","europeu","voo","achar"
"7","internacional","jogo","poder","epidemiar","reunião","nato","donald","líderes","oms","britânico","oms","estado","bori","bori","reinar","mundial","trump","ensaio","unido","vírus","imunidade","vírus","vírus","organização","trump","fase","vacina","oms","oms","vacina","europeu","oxford","estudar","universidade","oms","clínicos","dosar","bolsonaro","gripar","embaixada","contra","voluntários","oxford","unir","primeiro","aprovação","aprovação","união","milhões","pfizer","dosar","dosar","contra","vacinação","ue","contra","administrado","milhões","vacinação","ema","administração","medicamentar","medicamentar","coágulos","johnson","ema","acordar","contra","europeu","jovem","medicamentar","países","variante","países","adversar","lotar","oms","dosar","europeu","anticorpo","contra","moderno","afirmar","moderno","vacinar","reforço","europeu","riscar","anticorpo","oms","crianças","oms","riscar","pfizer","voo","novo","acompanhado"
"8","pública","saúde","adhanom","união","ue","organização","estadosmembros","olímpicos","iorque","iorque","iorque","eua","oms","the","bori","estado","unir","clínicos","of","tratamento","mundial","the","estudar","humano","bolsonaro","sarscov","mundo","mundial","aquisição","ensaio","desenvolver","astrazeneca","poder","países","estudar","ensaio","vacinação","tomar","dosar","letivo","dosar","pedir","estudar","contra","eficácia","vacinação","europeu","ue","vacinação","primeiro","grupar","vacinado","sobrar","administrado","receber","astrazeneca","johnson","receber","suspender","receber","produção","vacina","vacina","raro","medicamentar","ano","união","sistema","estudar","pfizer","líderes","chinar","sputnik","ue","sobrar","variante","países","vacinar","moderno","contra","reforço","unido","oms","eua","terceirar","países","ecdc","vacinar","moderno","johnson","países","lotar","ema","ema","mutações","detetada","acompanhar"
"9","declarar","união","decorrer","evolução","jogo","união","reunião","presidente","europeu","primeiroministro","bori","britânico","cuomo","norteamericano","jilin","unido","vacinar","vírus","june","medicamento","contra","investigador","fauci","oms","republicano","contra","diretorgeral","russo","milhões","clínicos","contra","infarmed","trump","mundo","medicamentar","regeneron","contra","paulo","ministério","voar","bolsonaro","contra","the","europeu","vacinado","vacinado","primeiro","contra","pfizer","europeu","antónio","grupar","primeiro","receber","milhões","população","ue","usar","milhões","ue","milhões","sanguíneos","fda","vacina","europeu","eficácia","pfizer","pfizer","vacina","crianças","cimeiro","astrazeneca","efeito","vacinar","animal","medicamentar","anticorpo","dólares","oms","pfizerbiontech","terceirar","países","receber","milhões","pfizer","milhões","medicamentar","medicamentar","desenvolver","fase","fda","países","vacinar","contra","vacina","oms","aconselhar"
"10","surtir","comité","diretorgeral","cabo","bruxelas","reunião","conferência","estado","johnson","unido","estado","organização","iorque","portavoz","vírus","organização","johnson","estado","estado","produzir","milhões","and","produção","bolsonaro","testar","desenvolvimento","festival","vacina","europeu","vírus","eficaz","estudar","pronto","anticorpo","unir","população","usar","comunitárias","tratamento","crítico","professor","milhões","eua","milhões","ema","primeiro","contra","países","pessoa","astrazeneca","lar","francisco","receber","produção","entregar","receber","astrazeneca","medicamentar","contra","eficácia","contra","raro","sanguíneos","usar","estado","estado","pfizerbiontech","vacina","origem","argentino","johnson","agência","filipina","mundial","vacinar","mundial","milhões","prevenção","vacinar","oms","especialista","origem","milhões","receber","população","tratamento","biden","unido","respostar","reforço","final","imprensar","doenças","união","vírus","vacina","acontecer"
