"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","saúde","freitas","graça","freitas","dgs","médicos","médicos","médicos","máscaras","máscaras","máscaras","máscaras","máscaras","saúde","freitas","sales","freitas","freitas","lisboa","graça","tejo","lisboa","lisboa","lisboa","marta","marta","médicos","algarve","lar","médicos","sobrar","sns","graça","graça","freitas","freitas","doente","cama","cama","cama","doente","doente","cuidado","profissional","doente","saúde","profissional","vacinação","hospital","hospital","doente","hospital","hospital","hospital","doente","doente","doente","cuidado","hospital","cuidado","intensivo","doente","cuidado","unidade","intensivo","cuidado","doente","intensivo","intensivo","intensivo","doente","cuidado","intensivo","doente","cuidado","intensivo","intensivo","doente","doente","intensivo","intensivo","cuidado","pessoa","internado","número","internado","número","número","morte","número","número","internado","internado","cuidado","doente","internado","aberto"
"2","freitas","graça","freitas","graça","saúde","saúde","saúde","saúde","saúde","ventilador","freitas","saúde","saúde","freitas","graça","saúde","graça","graça","freitas","freitas","lisboa","valar","tejo","freguesia","temer","temer","saúde","observador","sobrar","lar","freitas","dizer","sobrar","freitas","graça","graça","saúde","saúde","intensivo","cuidado","cama","cuidado","marta","saúde","saúde","temer","hospitalar","profissional","cama","doente","hospital","doente","doente","doente","unidade","intensivo","cuidado","uci","intensivo","doente","doente","intensivo","intensivo","cuidado","cuidado","intensivo","intensivo","menos","unidade","cuidado","cuidado","intensivo","cuidado","intensivo","doente","cuidado","internado","intensivo","intensivo","cuidado","cuidado","intensivo","cuidado","cuidado","morte","dia","caso","internado","número","anterior","caso","doente","número","intensivo","intensivo","cuidado","abrir"
"3","graça","diretorageral","carro","dgs","médicos","ordem","profissional","material","equipamento","saúde","saúde","freitas","freitas","graça","saúde","freitas","saúde","saúde","marta","saúde","valar","tejo","saúde","área","ministrar","eduardo","subdiretorgeral","dizer","reguengo","ordem","graça","podar","dizer","sobrar","sobrar","cama","sns","cuidado","capacidade","doente","médicos","cama","temer","cuidado","unidade","profissional","marta","hospital","doente","cama","cama","oxigénio","unidade","hospitalar","hospital","unidade","intensivo","doente","internado","intensivo","cuidado","cuidado","hospital","doente","hospital","doente","cuidado","cuidado","cuidado","internado","internado","internado","internado","cuidado","intensivo","doente","cuidado","internamento","cuidado","doente","internado","menos","intensivo","dia","dia","últimas","morte","descer","unidade","cuidado","intensivo","número","face","doente","hospital","doente","acabar"
"4","pessoa","informação","vir","mãos","linha","proteção","proteção","equipamento","médicos","epe","marta","graça","graça","máscaras","sales","graça","hospital","tejo","temer","lar","região","marta","dado","transportar","valar","cabra","aplicação","onda","freitas","sobrar","regra","porque","freitas","sales","lar","diretorageral","médicos","temer","cuidado","intensivo","intensivo","intensivo","intensivo","doente","internado","marta","saúde","vacinado","hospitalar","privado","intensivo","amadorasintra","cuidado","intensivo","intensivo","cama","hospitalar","cama","cuidado","internamento","hospital","internado","internado","intensivo","doente","internado","internado","hospital","internado","doente","intensivo","doente","doente","internamento","internado","enfermar","cama","cuidado","internado","unidade","unidade","unidade","internado","intensivo","intensivo","caso","hora","dia","anterior","dia","pessoa","dia","intensivo","cama","internado","intensivo","aceitar"
"5","portuguãªs","afirmar","passar","saúde","civil","bastonário","material","proteção","doente","enfermeiro","doente","sns","usar","sns","diretorageral","doente","temer","marta","graça","diretorageral","situação","saúde","concelho","metropolitano","incidência","área","dizer","relativamente","dizer","costa","dgs","costa","ministrar","lacerda","diretorageral","dizer","marta","secretário","saúde","sns","cuidado","hospital","profissional","unidade","cuidado","doente","lisboa","hospitalar","unidade","unidade","enfermar","hospitalar","intensivo","cuidado","cuidado","internamento","hospital","hospital","unidade","unidade","unidade","unidade","internamento","hospital","internado","hospital","unidade","internamento","internamento","número","hospital","internamento","hospital","unidade","cama","internado","doente","unidade","unidade","internado","doente","doente","internamento","número","internado","cuidado","últimas","morte","últimas","últimas","dia","intensivo","dia","hospital","cuidado","maputo","acelerar"
"6","todo","preparado","afirmar","diretorageral","bombeiro","profissional","máscaras","máscaras","material","hospitalar","temer","hospital","consulta","diretorageral","secretário","enfermeiro","valar","temer","tejo","temer","sintra","temer","situação","cordeiro","saúde","lisboa","profissional","cada","monsaraz","primeiroministro","dizer","profissional","lar","ministrar","surto","sobrar","freitas","capacidade","temer","respostar","freitas","capacidade","doente","marta","intensivo","vacinação","hospital","temer","cuidado","enfermar","unidade","redar","cama","equipar","internado","hospital","internado","intensivo","doente","hospital","salvar","hospital","doente","internado","enfermar","unidade","internamento","internado","hospital","unidade","unidade","número","internamento","internado","hospitalar","cama","ocupado","cama","hospital","hospitalizado","internamento","internamento","menos","morte","cuidado","número","anterior","últimas","intensivo","tender","anterior","cuidado","subir","internado","unidade","unidade","achar"
"7","fazer","cabo","portuguãªs","isolamento","freitas","linha","ordem","profissional","ventilador","equipamento","graça","usar","marta","médicos","riscar","marta","bairro","região","saúde","marta","freguesia","região","graça","duarte","lisboa","saúde","secretário","aqui","pedir","reguengo","antónio","tempo","testagem","dizer","marta","precisar","fazer","graça","existir","capacidade","sns","saúde","hospitalar","intensivo","marta","hospital","centro","unidade","internamento","serviço","hospitalar","cama","enfermar","unidade","hospitalar","cuidado","unidade","internamento","internamento","uci","internamento","cama","nunes","cama","menor","menos","menos","doente","doente","internamento","internamento","variante","aumentar","hospitalar","uci","hospital","hospital","hospital","hospitalar","hospital","descer","uci","registar","sete","descer","registar","menos","média","hora","total","semana","subir","cuidado","enfermar","visita","voar","acompanhado"
"8","sobrar","tipo","testar","transmissão","direçãogeral","emergência","equipamento","individual","individual","material","proteção","ventilador","temer","doente","doente","profissional","doente","valar","valar","profissional","graça","ministrar","região","freitas","concelho","ministrar","lacerda","riscar","graça","antónio","costa","sobrar","capacidade","sublinhar","profissional","adiantar","cama","fazer","médicos","podar","graça","profissional","saúde","vacinação","profissional","sns","vacinação","primeiro","intensivo","sns","cuidado","unidade","hospitalar","cama","médica","hospitalar","cama","internado","hospitalar","ajudar","número","internamento","menos","uci","cama","internamento","hospital","unidade","pessoa","menos","número","aumentar","cama","uci","internamento","uci","unidade","internado","enfermar","uci","cama","internado","descer","anterior","doente","desde","dia","sete","internado","contacto","internado","véspera","espanha","unidade","internamento","portuguãªs","acompanhar"
"9","diretorageral","temer","diretorageral","sintoma","profissional","médico","individual","sns","profissional","proteção","usar","equipamento","equipamento","sales","saber","médicos","sales","diretorageral","positivo","situação","dizer","problema","transportar","invernar","dizer","concelho","podar","ruir","ministrar","freitas","app","regressar","ana","secretário","planar","vez","cuidado","freitas","doente","graça","unidade","uci","unidade","ramo","hospital","cuidado","temer","fase","internado","intensivo","centrar","enfermar","internado","enfermar","garcia","uci","uci","unidade","cama","internado","vida","boletim","unidade","oxigénio","internamento","idoso","após","pessoa","surtir","hospital","uci","estar","boletim","hospital","unidade","unidade","celebração","uci","internamento","equipar","hospital","problema","anterior","setembro","internamento","intensivo","sete","intensivo","cuidado","morte","aumentar","caso","últimos","uci","hospitalar","hospitalar","aconselhar"
"10","têm","saber","fazer","vir","orientações","apelar","doente","doente","enfermeiro","usar","dgs","doente","testar","sobrar","afirmar","hospital","tejo","lisboa","região","tejo","ocupação","transportar","regional","medina","tejo","relativamente","sales","sousa","surto","graça","ir","lar","marta","temer","saúde","saúde","profissional","diogo","marta","freitas","hospital","internado","cama","internado","sns","internado","internado","marta","profissional","profissional","capacidade","transferido","centrar","centrar","orta","medicinar","atividade","ocupado","preços","fevereiro","dgs","nestas","etários","internamento","tendência","número","setembro","uci","número","pessoa","cama","unidade","ocupação","quartar","recuar","capacidade","número","morrer","aumentar","aumentar","menos","habitante","aumentar","doente","últimos","setembro","registar","anterior","dia","hora","cuidado","aumentar","mês","subir","cama","espanhol","acontecer"
