k,start,end
2,2020-10-03,2020-10-09
2,2020-10-17,2020-10-23
3,2020-02-22,2020-02-28
3,2020-03-21,2020-03-27
3,2020-12-19,2020-12-24
3,2021-11-27,2021-12-03
4,2020-02-01,2020-02-07
4,2021-07-17,2021-07-23
4,2021-11-06,2021-11-12
4,2021-11-27,2021-12-03
5,2020-03-21,2020-03-27
6,2020-02-22,2020-02-28
6,2020-03-21,2020-03-27
7,2020-02-01,2020-02-07
7,2020-03-21,2020-03-27
7,2020-10-17,2020-10-23
7,2020-10-31,2020-11-06
7,2021-11-06,2021-11-12
7,2021-12-04,2021-12-10
8,2020-02-22,2020-02-28
8,2020-10-17,2020-10-23
8,2020-12-19,2020-12-24
8,2021-01-16,2021-01-22
8,2021-08-07,2021-08-13
8,2021-11-27,2021-12-03
10,2020-03-21,2020-03-27
11,2020-02-22,2020-02-28
11,2020-03-21,2020-03-27
11,2021-05-22,2021-05-28
11,2021-09-11,2021-09-17
11,2021-11-27,2021-12-03
12,2020-02-22,2020-02-28
12,2020-03-21,2020-03-27
12,2020-12-19,2020-12-24
12,2021-03-13,2021-03-19
