k,start,end
1,2020-12-19,2020-12-23
1,2021-07-27,2021-07-30
2,2020-05-23,2020-05-29
2,2020-12-19,2020-12-23
3,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-11-28,2020-12-04
4,2021-01-09,2021-01-15
4,2021-01-30,2021-02-05
6,2020-02-29,2020-03-06
6,2020-03-07,2020-03-13
6,2020-06-13,2020-06-19
6,2020-12-12,2020-12-18
6,2021-08-02,2021-08-05
7,2020-03-07,2020-03-13
7,2021-03-29,2021-04-01
7,2021-04-10,2021-04-14
7,2021-07-27,2021-07-30
8,2020-03-21,2020-03-27
8,2020-11-07,2020-11-13
9,2020-02-22,2020-02-28
10,2021-07-27,2021-07-30
12,2020-02-15,2020-02-21
12,2020-02-29,2020-03-06
12,2020-03-14,2020-03-20
13,2020-02-29,2020-03-06
13,2020-03-14,2020-03-20
13,2020-10-10,2020-10-16
14,2020-02-29,2020-03-06
14,2021-07-27,2021-07-30
15,2020-02-01,2020-02-07
16,2020-02-22,2020-02-28
16,2020-03-07,2020-03-13
16,2020-03-14,2020-03-20
17,2020-02-01,2020-02-07
17,2020-06-13,2020-06-19
18,2020-02-22,2020-02-28
18,2021-01-23,2021-01-29
