k,start,end
1,2020-02-08,2020-02-14
1,2020-02-22,2020-02-28
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-09-26,2020-10-02
1,2021-04-18,2021-04-23
2,2020-02-01,2020-02-07
2,2020-02-22,2020-02-28
2,2020-02-29,2020-03-06
2,2020-03-07,2020-03-13
2,2020-04-25,2020-05-01
2,2020-06-27,2020-07-03
2,2020-09-26,2020-10-02
2,2020-11-07,2020-11-13
2,2021-01-23,2021-01-29
2,2021-04-24,2021-04-30
2,2021-07-10,2021-07-15
2,2021-07-27,2021-07-30
3,2020-02-22,2020-02-28
3,2020-02-29,2020-03-06
3,2020-03-14,2020-03-20
3,2020-04-04,2020-04-10
3,2020-11-07,2020-11-13
3,2020-12-12,2020-12-18
3,2021-03-29,2021-04-01
3,2021-04-10,2021-04-14
3,2021-05-01,2021-05-07
4,2020-02-01,2020-02-07
4,2020-02-22,2020-02-28
4,2020-02-29,2020-03-06
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-04-04,2020-04-10
4,2020-05-16,2020-05-22
4,2020-05-30,2020-06-05
4,2020-06-13,2020-06-19
4,2020-06-20,2020-06-26
4,2020-07-18,2020-07-24
4,2020-08-08,2020-08-14
4,2020-09-13,2020-09-18
4,2020-11-21,2020-11-27
4,2020-11-28,2020-12-04
4,2020-12-05,2020-12-11
4,2020-12-26,2020-12-31
4,2021-01-09,2021-01-15
4,2021-01-16,2021-01-22
4,2021-01-30,2021-02-05
4,2021-07-10,2021-07-15
4,2021-08-02,2021-08-05
5,2020-02-01,2020-02-07
5,2020-02-22,2020-02-28
5,2020-03-07,2020-03-13
5,2020-03-14,2020-03-20
5,2020-03-21,2020-03-27
5,2020-07-18,2020-07-24
5,2020-08-01,2020-08-07
5,2020-10-10,2020-10-16
5,2020-11-07,2020-11-13
5,2020-12-19,2020-12-23
5,2021-01-16,2021-01-22
5,2021-01-23,2021-01-29
5,2021-06-05,2021-06-11
5,2021-07-10,2021-07-15
5,2021-07-27,2021-07-30
6,2020-02-15,2020-02-21
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-14,2020-03-20
6,2020-04-04,2020-04-10
6,2020-05-23,2020-05-29
6,2020-05-30,2020-06-05
6,2020-07-25,2020-07-31
6,2020-08-15,2020-08-21
6,2021-01-03,2021-01-08
6,2021-01-23,2021-01-29
6,2021-03-13,2021-03-19
6,2021-07-10,2021-07-15
6,2021-07-27,2021-07-30
7,2020-02-01,2020-02-07
7,2020-02-29,2020-03-06
7,2020-03-07,2020-03-13
7,2020-03-14,2020-03-20
7,2020-03-21,2020-03-27
7,2020-04-11,2020-04-17
7,2020-06-13,2020-06-19
7,2020-11-21,2020-11-27
7,2020-12-19,2020-12-23
7,2021-04-24,2021-04-30
7,2021-07-27,2021-07-30
8,2020-02-22,2020-02-28
8,2020-03-07,2020-03-13
8,2020-03-14,2020-03-20
8,2020-03-28,2020-04-03
8,2020-04-11,2020-04-17
8,2020-06-27,2020-07-03
8,2021-07-10,2021-07-15
9,2020-02-15,2020-02-21
9,2020-02-22,2020-02-28
9,2020-03-07,2020-03-13
9,2020-03-14,2020-03-20
9,2020-03-21,2020-03-27
9,2020-07-25,2020-07-31
9,2020-09-05,2020-09-11
9,2020-09-21,2020-09-25
9,2020-10-10,2020-10-16
9,2021-07-10,2021-07-15
9,2021-07-27,2021-07-30
10,2020-02-01,2020-02-07
10,2020-02-08,2020-02-14
10,2020-03-07,2020-03-13
10,2020-03-14,2020-03-20
10,2020-04-25,2020-05-01
10,2020-11-07,2020-11-13
10,2020-11-21,2020-11-27
10,2020-12-05,2020-12-11
10,2020-12-12,2020-12-18
10,2021-01-23,2021-01-29
10,2021-07-10,2021-07-15
11,2020-02-29,2020-03-06
11,2020-03-14,2020-03-20
11,2020-03-21,2020-03-27
11,2020-03-28,2020-04-03
11,2020-04-04,2020-04-10
11,2020-06-13,2020-06-19
11,2021-08-02,2021-08-05
12,2020-02-22,2020-02-28
12,2020-02-29,2020-03-06
12,2020-03-07,2020-03-13
12,2020-03-21,2020-03-27
12,2020-04-04,2020-04-10
12,2020-05-02,2020-05-08
12,2020-05-09,2020-05-15
12,2020-06-13,2020-06-19
12,2020-06-20,2020-06-26
12,2020-08-29,2020-09-04
12,2021-01-03,2021-01-08
13,2020-02-29,2020-03-06
13,2020-03-21,2020-03-27
13,2020-06-20,2020-06-26
13,2020-09-05,2020-09-11
13,2021-01-16,2021-01-22
13,2021-01-30,2021-02-05
13,2021-03-02,2021-03-04
13,2021-03-23,2021-03-26
13,2021-04-05,2021-04-08
13,2021-05-24,2021-05-28
13,2021-06-14,2021-06-18
14,2020-02-15,2020-02-21
14,2020-02-22,2020-02-28
14,2020-03-14,2020-03-20
14,2020-08-22,2020-08-28
14,2020-08-29,2020-09-04
14,2020-09-05,2020-09-11
14,2020-11-07,2020-11-13
14,2021-02-06,2021-02-12
14,2021-03-23,2021-03-26
15,2020-02-01,2020-02-07
15,2020-02-22,2020-02-28
15,2020-03-07,2020-03-13
15,2020-03-28,2020-04-03
15,2020-04-04,2020-04-10
15,2020-04-11,2020-04-17
15,2020-05-09,2020-05-15
15,2021-07-10,2021-07-15
16,2020-02-22,2020-02-28
16,2020-03-14,2020-03-20
16,2020-03-21,2020-03-27
16,2020-04-11,2020-04-17
16,2020-11-14,2020-11-20
16,2020-12-12,2020-12-18
16,2021-01-23,2021-01-29
16,2021-04-24,2021-04-30
16,2021-05-17,2021-05-21
