"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","emergency","xi","ghebreyesus","xi","trump","trump","trump","trump","vote","trump","trump","trump","trump","trump","trump","white","trump","trump","vaccine","fauci","rally","trump","trump","trump","trump","trump","republican","trump","trump","postal","republican","biden","trump","trump","china","house","trump","offer","pelosi","election","house","mink","mink","store","mcconnell","republican","leader","bill","bill","stock","brazilian","oxygen","mask","republican","president","house","house","biden","house","biden","school","walensky","biden","house","biden","biden","biden","white","biden","biden","biden","look","harris","american","point","facility","game","test","festival"
"2","health","world","organization","tedros","president","president","president","president","trump","biden","president","president","president","president","president","trump","president","president","fauci","vaccine","tulsa","rally","penny","president","white","republican","trump","house","executive","mail","trump","trump","president","house","trump","pelosi","stimulus","pelosi","election","house","white","farm","farm","desantis","relief","fund","stimulus","relief","relief","house","relief","amazonas","standard","relief","relief","bill","bill","origin","bill","american","student","biden","get","zients","american","get","get","house","hate","intelligence","american","investigation","get","white","white","three","tokyo","positive","quarantine"
"3","meet","crisis","tedros","expert","administration","house","house","white","stimulus","president","house","china","donald","donald","china","house","china","us","trump","trump","trump","white","president","white","house","senate","house","pelosi","action","election","house","loan","harris","stimulus","house","mnuchin","talk","senate","stimulus","pelosi","rt","denmark","giroir","benefit","billion","bill","relief","package","trump","trump","american","manaus","team","democrat","chinese","biden","biden","house","payment","president","fund","house","house","white","white","house","american","president","american","origin","president","get","biden","make","american","researcher","travel","team","test"
"4","xi","organization","xi","president","response","penny","white","house","senate","white","task","white","china","china","intelligence","president","house","china","redfield","infectious","campaign","president","rally","republican","fauci","house","senate","president","benefit","fund","vote","election","vote","democrat","death","stimulus","worker","kudlow","house","stimulus","mutate","cull","stock","unemployment","house","relief","deal","stimulus","payment","end","amazonas","court","wuhan","budget","china","senate","relief","president","biden","administration","biden","mask","slavitt","say","house","administration","job","biden","house","president","job","adult","president","get","wear","find","weekend","exposure","williams"
"5","epidemic","response","adhanom","adhanom","fund","white","republican","senate","bill","house","brief","task","governor","question","administration","administration","assembly","administration","president","disease","oklahoma","campaign","white","house","president","white","unemployment","democrat","democrat","vote","bill","fund","republican","economy","let","deal","house","house","deal","stock","justice","human","demonstration","black","senate","bipartisan","aid","congress","check","vote","package","coari","chinese","bill","committee","democrat","wage","harris","stimulus","house","learn","slavitt","white","state","get","white","adult","vaccination","white","pandemic","july","go","house","president","confidence","pandemic","tedros","jackson","outbreak"
"6","international","public","expert","response","house","administration","administration","administration","house","vice","organization","house","penny","house","white","china","administration","pandemic","house","redfield","fauci","house","birx","convention","mcenany","billion","stimulus","stimulus","house","house","meadow","republican","bill","benefit","job","trump","package","white","mnuchin","technology","west","mutation","danish","buy","republican","liability","package","billion","stimulus","republican","expectancy","federal","quarantine","resolution","package","relief","democrat","act","president","relief","address","white","remark","get","president","cnns","president","fund","unemployment","american","national","need","american","psaki","ask","us","ceremony","player","case"
"7","response","jinping","president","control","white","fund","rep","republican","package","think","say","donald","task","force","house","secretary","donald","response","task","dr","president","penny","mask","task","discredit","proposal","mcconnell","senate","unemployment","trump","convention","ballot","stimulus","trillion","response","democrat","pandemic","republican","senate","talk","election","danish","denmark","claim","democratic","stimulus","democrat","pass","senate","economic","economic","government","investigation","biden","biden","package","vote","small","check","law","relief","school","president","administration","administration","adviser","administration","adult","slavitt","community","goal","national","white","july","biden","control","happen","game","symptom"
"8","control","president","health","ghebreyesus","penny","mike","familiar","brazilian","president","joe","white","fund","claim","biden","wuhan","donald","white","donald","us","task","attend","task","house","penny","administration","president","white","side","white","senate","pelosi","house","claim","pelosi","benefit","speaker","harris","trump","speaker","deal","post","strain","berlin","rule","proposal","billion","congress","president","pass","job","life","crisis","origin","pass","bill","pass","president","american","earn","white","reopen","business","walensky","slavitt","vaccinate","slavitt","house","american","president","virginia","action","think","vice","goal","indicator","may","open","dhs","dhs"
"9","world","epidemic","say","praise","azar","billion","penny","test","democrat","bill","program","leader","house","election","donald","fauci","world","claim","director","anthony","white","force","wear","event","china","gop","proposal","meadow","mnuchin","service","employee","president","election","retail","ambassador","proposal","pelosi","trillion","democrat","mnuchin","outbreak","mutate","sp","florida","leader","congress","bill","payment","president","employee","billion","disable","china","house","family","president","minimum","another","will","psaki","billion","rochelle","go","vaccination","employee","even","goal","shoot","asian","investigation","benefit","just","tour","house","celebration","initial","since","confirm","expose"
"10","outbreak","call","team","jinping","say","vote","vice","vote","leader","get","economy","administration","administration","intelligence","originate","us","resolution","xi","force","director","event","tulsa","republican","force","political","mnuchin","bill","white","schumer","president","biden","democratic","reporter","vote","claim","furlough","airline","mnuchin","negotiation","white","trump","variant","little","expand","democrat","senate","mcconnell","benefit","mcconnell","trade","year","emergency","draft","senate","wuhan","committee","senate","big","relief","trump","education","right","administration","response","slavitt","help","reach","administration","color","house","administration","close","community","biden","high","election","committee","passenger","gather"
