k,start,end
1,2020-02-22,2020-02-28
1,2020-03-14,2020-03-20
1,2020-03-21,2020-03-27
1,2021-04-10,2021-04-14
1,2021-05-01,2021-05-07
2,2020-02-15,2020-02-21
2,2020-02-29,2020-03-06
3,2020-02-22,2020-02-28
3,2020-03-28,2020-04-03
3,2021-03-13,2021-03-19
4,2020-02-01,2020-02-07
4,2020-03-14,2020-03-20
4,2020-06-27,2020-07-03
4,2020-12-19,2020-12-23
5,2020-02-15,2020-02-21
5,2020-02-22,2020-02-28
5,2020-03-14,2020-03-20
5,2021-03-23,2021-03-26
6,2020-03-14,2020-03-20
6,2020-07-18,2020-07-24
7,2021-07-27,2021-07-30
8,2020-03-07,2020-03-13
9,2020-02-22,2020-02-28
9,2021-07-27,2021-07-30
10,2020-02-22,2020-02-28
10,2020-02-29,2020-03-06
10,2020-03-07,2020-03-13
10,2020-03-14,2020-03-20
10,2020-11-28,2020-12-04
11,2020-02-01,2020-02-07
11,2020-02-29,2020-03-06
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-12-12,2020-12-18
11,2021-07-27,2021-07-30
12,2020-02-22,2020-02-28
12,2020-03-07,2020-03-13
12,2020-03-21,2020-03-27
12,2020-04-11,2020-04-17
13,2020-02-29,2020-03-06
14,2020-03-14,2020-03-20
14,2020-12-19,2020-12-23
