k,start,end
1,2020-02-01,2020-02-07
1,2020-02-22,2020-02-28
1,2020-03-14,2020-03-20
1,2020-08-22,2020-08-28
1,2020-09-26,2020-10-02
1,2020-11-07,2020-11-13
1,2021-01-23,2021-01-29
1,2021-07-27,2021-07-30
2,2020-02-29,2020-03-06
2,2020-03-07,2020-03-13
2,2020-06-27,2020-07-03
3,2020-02-22,2020-02-28
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
5,2020-02-22,2020-02-28
5,2020-02-29,2020-03-06
5,2020-03-07,2020-03-13
5,2020-03-21,2020-03-27
5,2020-12-12,2020-12-18
5,2021-04-24,2021-04-30
6,2020-02-08,2020-02-14
6,2020-03-14,2020-03-20
6,2020-05-23,2020-05-29
6,2021-07-27,2021-07-30
7,2020-02-22,2020-02-28
7,2020-03-07,2020-03-13
7,2020-03-14,2020-03-20
7,2021-04-18,2021-04-23
8,2020-02-15,2020-02-21
8,2020-02-22,2020-02-28
8,2020-03-14,2020-03-20
8,2020-07-18,2020-07-24
8,2020-12-19,2020-12-23
9,2020-02-29,2020-03-06
9,2020-03-21,2020-03-27
9,2020-12-19,2020-12-23
10,2020-02-01,2020-02-07
10,2020-02-22,2020-02-28
10,2020-03-07,2020-03-13
10,2020-03-21,2020-03-27
10,2020-06-13,2020-06-19
10,2020-11-28,2020-12-04
10,2021-01-09,2021-01-15
10,2021-01-30,2021-02-05
10,2021-03-29,2021-04-01
10,2021-07-10,2021-07-15
10,2021-07-27,2021-07-30
11,2020-02-22,2020-02-28
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
12,2021-01-23,2021-01-29
12,2021-04-10,2021-04-14
12,2021-05-01,2021-05-07
13,2020-02-01,2020-02-07
13,2020-03-21,2020-03-27
14,2020-02-29,2020-03-06
14,2020-03-21,2020-03-27
14,2020-06-13,2020-06-19
14,2021-07-10,2021-07-15
15,2020-03-14,2020-03-20
