k,start,end
1,2020-02-01,2020-02-07
1,2020-02-22,2020-02-28
1,2020-03-14,2020-03-20
1,2020-08-22,2020-08-28
1,2020-09-26,2020-10-02
3,2020-02-22,2020-02-28
3,2020-11-07,2020-11-13
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
5,2020-02-29,2020-03-06
5,2020-03-07,2020-03-13
5,2020-12-12,2020-12-18
6,2020-05-23,2020-05-29
6,2021-07-27,2021-07-30
7,2020-03-14,2020-03-20
8,2020-02-15,2020-02-21
8,2020-02-22,2020-02-28
8,2020-07-18,2020-07-24
8,2020-12-19,2020-12-23
9,2020-12-19,2020-12-23
10,2020-02-22,2020-02-28
10,2020-03-07,2020-03-13
10,2020-03-21,2020-03-27
10,2020-11-28,2020-12-04
11,2020-02-22,2020-02-28
12,2021-04-10,2021-04-14
12,2021-05-01,2021-05-07
13,2020-02-01,2020-02-07
14,2020-02-29,2020-03-06
