k,start,end
1,2020-02-01,2020-02-07
1,2020-02-29,2020-03-06
1,2020-12-12,2020-12-18
2,2021-07-27,2021-07-30
3,2020-03-14,2020-03-20
3,2020-09-26,2020-10-02
5,2020-11-21,2020-11-27
5,2020-12-19,2020-12-23
5,2021-07-27,2021-07-30
6,2020-02-15,2020-02-21
6,2021-03-13,2021-03-19
7,2020-02-15,2020-02-21
8,2020-02-29,2020-03-06
9,2020-02-22,2020-02-28
9,2020-03-14,2020-03-20
10,2020-02-08,2020-02-14
10,2020-02-29,2020-03-06
10,2020-06-13,2020-06-19
14,2020-02-22,2020-02-28
14,2020-07-18,2020-07-24
14,2020-11-07,2020-11-13
14,2021-07-10,2021-07-15
15,2021-07-27,2021-07-30
16,2020-02-29,2020-03-06
16,2020-03-21,2020-03-27
17,2020-02-22,2020-02-28
17,2020-03-07,2020-03-13
17,2020-03-14,2020-03-20
17,2020-05-23,2020-05-29
18,2020-03-21,2020-03-27
18,2021-01-09,2021-01-15
19,2021-03-29,2021-04-01
19,2021-04-10,2021-04-14
20,2020-02-22,2020-02-28
20,2020-03-07,2020-03-13
20,2020-03-21,2020-03-27
