k,start,end
2,2020-02-29,2020-03-06
2,2020-03-14,2020-03-20
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-21,2020-03-27
6,2020-02-15,2020-02-21
6,2020-07-18,2020-07-24
6,2020-09-26,2020-10-02
6,2021-01-30,2021-02-05
9,2020-03-14,2020-03-20
9,2021-07-27,2021-07-30
10,2020-03-07,2020-03-13
13,2020-02-01,2020-02-07
13,2020-02-08,2020-02-14
13,2021-07-27,2021-07-30
14,2020-02-22,2020-02-28
14,2020-12-19,2020-12-23
14,2021-03-23,2021-03-26
15,2021-04-10,2021-04-14
17,2020-03-14,2020-03-20
17,2020-05-23,2020-05-29
