"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","flight","hong","percent","postpone","postpone","event","event","festival","olympic","prison","migrant","release","prison","prisoner","migrant","camp","india","africa","school","child","refugee","migrant","un","police","child","police","police","protester","fire","police","police","police","protest","police","police","police","police","mask","mask","protest","police","police","police","police","police","police","macron","positive","wuhan","france","france","italy","vitamin","french","lose","diabetes","support","year","economy","travel","travel","travel","travel","quarantine","travel","passport","go","moment","hancock","cummings","zahawi","hancock","johnson","fan","hancock","england","mask","nhs","england","passport","think","think","diabetes","go","zahawi","plan","think","inquiry","tiktok","inquiry","life","plan","mp","get","booster","europe","think","go","think"
"2","china","flight","hong","march","cancel","postpone","cancel","prison","tokyo","release","prison","prison","iran","prison","rohingya","migrant","migrant","woman","education","school","woman","home","turkey","migrant","election","corruption","protest","protest","berlin","curfew","protest","arrest","drink","protest","protest","officer","beach","vatican","threat","police","protester","gather","care","patient","mitsotakis","officer","french","police","france","french","pope","french","france","france","statistic","year","mark","chile","economic","hong","quarantine","tourist","passport","hotel","variant","family","uk","go","list","think","really","cummings","boris","summit","secretary","johnson","wear","pilot","go","think","app","really","go","child","decision","nhs","look","meet","public","barclay","nhs","budget","common","think","johnson","get","re","think","hiv"
"3","suspend","airline","suspend","birthday","march","cancel","organiser","release","game","pregnant","prisoner","misinformation","overcrowd","detention","freedom","asylum","truck","refugee","girl","woman","child","child","mexico","right","attack","wildlife","demonstration","police","police","highway","camp","protest","staff","woman","protester","protest","crowd","protester","protester","italy","protest","officer","intensive","mask","protest","kang","de","wear","police","véran","vatican","france","eu","vitamin","patient","woman","gain","association","young","foreign","flight","taiwan","test","travel","think","mask","family","think","shapps","dominic","restriction","care","think","travel","matt","boris","england","ping","know","wale","re","get","re","education","want","javid","tell","bereave","misinformation","lesson","re","need","need","people","mask","really","go","re","end"
"4","travel","suspend","kong","kong","meeting","match","football","prisoner","prison","woman","camp","belarus","prisoner","inmate","refugee","refugee","worker","child","child","migrant","violence","security","sex","belgrade","fire","arrest","violence","gather","cause","lebanon","app","charge","africa","arrest","arrest","crowd","event","francis","brother","restriction","church","manchester","mask","hospital","arrest","strain","leader","de","ethnic","nurse","renzi","film","protocol","castex","write","risk","risk","economic","sign","taiwan","test","hong","think","list","quarantine","travel","think","want","matt","secretary","prof","go","go","safe","nhs","lift","will","selfisolate","uk","minister","contact","contact","type","school","child","winter","ask","family","content","minister","action","work","thing","jab","programme","mask","uk","get","go"
"5","citizen","mainland","flight","cancel","reuters","vatican","game","nazanin","detention","prisoner","boat","visit","rouhani","criminal","boat","child","child","land","student","facility","saudi","right","right","ship","regulation","election","protester","berlin","injure","protest","rakhine","strike","strike","protester","officer","protester","gather","distance","regulation","turin","arrest","mask","bed","protest","facebook","claim","cat","tomorrowspaperstoday","gather","castex","coalition","bond","ireland","film","recovery","study","serve","energy","martin","kong","holiday","quarantine","quarantine","requirement","will","want","make","just","variant","herd","thing","get","home","secretary","boris","restriction","want","johnson","test","change","prof","student","life","think","ask","decision","re","group","young","handle","back","uk","wear","re","nhs","go","really","really","now"
"6","february","employee","cancel","celebration","employee","april","due","jail","committee","baby","maroto","device","tehran","north","arrest","arrest","leave","south","wash","food","migrant","sea","side","serbian","night","release","handle","demonstrator","lebanon","port","turkey","worker","supply","car","antilockdown","trafalgar","officer","wear","burgess","freedom","bishop","wear","hospital","arrest","protester","kim","president","minister","chinese","netherlands","minister","debt","northern","office","debt","research","lose","sign","spend","business","kong","tourism","use","hun","international","another","know","sure","red","immunity","think","secretary","secretary","hancock","uk","legal","nhs","app","secretary","radio","england","re","know","sage","look","will","winter","johnson","cant","learn","argar","mask","plan","pregnant","winter","re","booster","thing","need"
"7","zealand","kong","barcelona","marathon","april","sxsw","festival","football","postpone","mother","rescue","avenatti","iranian","online","malaysia","traffic","walk","aid","un","violence","un","attack","migrant","power","disco","animal","thousand","demonstration","insurance","thousand","shop","africa","train","oxygen","demonstration","square","st","crowd","dance","italian","gather","protest","protest","care","event","korean","costa","mask","freedom","slow","french","allocate","macron","work","consider","pregnant","life","war","sector","foreigner","resident","kong","tourist","force","list","go","sure","really","boris","hancock","re","nhs","make","restriction","prime","will","expect","boris","isolation","people","student","mp","child","decision","nadhim","johnson","go","public","look","morning","uk","transmission","really","hospital","wear","booster","bbc","nhs","infect"
"8","russia","february","concern","hong","south","sport","match","esmaili","ioc","camp","mother","case","museum","singapore","camp","north","kill","un","africa","centre","prison","refugee","violence","clash","strongly","protest","gather","call","global","central","street","permit","mask","get","square","demonstration","kilda","supporter","street","protester","spain","public","law","bed","greece","central","negative","bill","city","tuesday","italian","close","french","evidence","support","crisis","sector","march","pass","singapore","allow","arrival","traveller","require","red","market","really","step","go","kwarteng","cautious","whether","roadmap","sure","resignation","uk","re","go","tell","scotland","bbc","still","virus","life","mp","passport","lot","way","account","decision","another","common","leader","nhs","can","transmission","get","bbc","uk"
"9","cancel","china","due","emperor","olympic","march","league","pardon","immigration","assessment","child","coalition","release","violation","undocumented","mafia","home","thousand","leave","boat","duck","prison","item","serbia","life","illegal","celebration","rally","street","corn","protester","man","turkey","refuse","trafalgar","organiser","wear","gather","visa","monday","officer","face","patient","wear","criminal","surge","élysée","accord","age","community","francis","april","factor","demand","observer","hospital","italy","december","woman","allow","hong","palau","whether","think","able","university","work","make","secretary","kwasi","nhs","claim","england","nhs","javid","set","think","secretary","think","student","radio","site","just","idea","vaccine","want","radio","household","come","conservative","good","prof","re","booster","get","christmas","programme","clear","likely"
"10","new","event","mobile","follow","due","hold","inmate","event","detainee","abuse","kong","boat","inmate","court","release","pandemic","train","continent","class","camp","care","group","syria","protest","kabul","jerusalem","netanyahu","netanyahu","still","explosion","officer","post","drug","strike","gather","gather","israel","love","immigration","present","violent","organiser","unit","unit","enforcement","arrest","claim","fine","action","minister","crisis","worldwide","trigger","spend","year","show","year","economy","risk","resident","negative","border","industry","kingdom","wont","leave","event","uk","make","inquiry","boris","tell","delay","make","labour","plan","face","rule","get","secretary","really","university","england","re","parent","boris","happen","tell","app","sorry","talk","mp","medium","woman","england","possible","sure","uk","full"
