"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","ban","trump","beijing","vehicle","iran","iran","country","flight","flight","flight","april","lockdown","restriction","will","reopen","reopen","will","phase","will","will","open","will","will","travel","lockdown","restriction","spain","travel","greece","croatia","measure","return","quarantine","travel","lufthansa","disney","wisconsin","travel","quarantine","nice","passenger","christmas","private","team","travel","poll","forecast","market","resort","world","thousand","olympic","game","iran","ebola","curfew","vote","palestinian","police","city","police","party","police","whitmer","police","police","australian","australian","game","olympic","site","charity","olympic","olympic","tokyo","positive","olympic","olympic","tokyo","tokyo","olympic","tokyo","japan","moderna","test","pharmaceutical","police","police","police","worker","pm","head","dog","protest","police","police","worker","mandate","visitor"
"2","control","taiwan","help","xiaogan","qom","ministry","death","measure","citizen","national","flight","flight","lockdown","reopen","ease","allow","reopen","ease","reopen","travel","reopen","reopen","flight","restriction","border","travel","travel","list","spain","travel","quarantine","portugal","island","international","airport","reopen","evers","wisconsin","travel","airport","cruise","prison","clinic","kong","thai","election","nz","try","world","job","police","japan","foreign","palestinian","arm","court","party","bank","check","police","curfew","drakeford","protest","police","ford","pay","australia","australia","flight","tokyo","visit","justice","game","spectator","test","tokyo","positive","game","olympic","olympic","tokyo","game","moderna","suspend","foreign","alberta","debt","crime","restriction","rome","hundred","significant","ardern","syringe","mourn","protest","police","de","management"
"3","travel","prevention","measure","xi","nation","korea","restriction","spain","government","april","impose","restriction","flight","restaurant","school","will","restriction","will","restriction","reopen","will","border","greece","pub","restriction","close","quarantine","danang","measure","measure","tourist","hungary","travel","force","passenger","park","state","airport","state","person","suspend","santa","hong","travel","north","border","slump","follow","hard","khan","express","game","colleague","bank","outbreak","law","bank","protester","violence","vote","protest","mark","group","election","ontario","keep","travel","return","olympic","japan","australia","refund","employee","organiser","bettel","test","game","tokyo","game","japan","japan","link","vial","vial","patient","wiseman","melbourne","pregnant","worker","movement","johnson","mental","august","city","independence","violence","mayor","park","medic"
"4","level","ban","taiwan","china","state","north","countrys","country","quarantine","peru","lockdown","ban","ease","lockdown","will","ease","shop","reopen","travel","open","restaurant","open","airport","list","allow","lockdown","airport","greece","quarantine","tourist","traveller","border","czech","flight","travel","disneyland","overwhelm","quarantine","york","travel","board","year","appropriate","hong","border","vote","quarter","world","path","comply","affect","removal","olympic","west","republic","rule","court","party","beat","protest","beach","police","vote","pub","province","nation","clear","decision","camp","game","exposure","ticket","establish","tokyo","positive","team","tokyo","athlete","team","game","event","shop","game","japan","vietnam","province","sydney","pride","pregnant","head","minister","million","conference","billion","economy","protester","roll","blasio","tourism"
"5","restriction","measure","two","fight","de","un","iran","state","impose","british","restriction","minister","allow","shop","shop","restriction","beach","allow","open","border","tourist","visitor","travel","allow","lift","spain","traveller","france","bar","restriction","flight","quarantine","flight","test","dog","theme","gathering","passenger","wisconsin","tebboune","corridor","train","email","arrival","flight","island","economy","normal","expert","mayor","€m","july","iran","game","child","vote","government","law","certificate","election","vote","able","thing","prison","canadas","inequality","seat","flight","delegation","camp","school","festival","tokyo","game","contact","olympic","test","positive","positive","team","organiser","ardern","takeda","ministry","much","foreign","border","saturday","attack","minister","capital","korea","video","poll","city","dutch","de","protest","pakistan"
"6","china","department","member","country","place","iranian","travel","prime","declare","close","citizen","measure","shop","may","lockdown","shop","allow","open","border","restriction","allow","restaurant","traveller","country","travel","border","tourist","arrival","country","italy","case","traveller","passenger","citizen","international","asylum","quarantine","airline","arrival","tourist","selfisolate","work","test","isolation","commission","north","expect","land","broadcast","team","positive","deportation","candidate","irans","die","election","urge","west","man","poll","mask","avoid","mp","arrest","toronto","home","ban","japanese","venue","australian","package","fund","set","der","spectator","game","host","japan","japan","festival","festival","barrier","contamination","street","hundred","choice","australias","post","jackson","argue","event","jab","every","street","cannon","rotterdam","civil","mayor","demand"
"7","health","donald","handle","president","deny","kim","citizen","madrid","traveller","saturday","minister","government","school","allow","allow","restaurant","border","rule","june","restaurant","july","travel","tourist","border","impose","reopen","flight","new","region","greece","croatia","flight","infection","passenger","country","lay","dakota","tourist","museum","state","list","grant","kong","must","food","travel","budget","shield","year","market","investigate","canada","summer","force","congo","break","babis","protest","palestinian","restaurant","light","mask","boris","political","opposition","need","election","ban","ahead","emergency","melbourne","consumer","€bn","leyen","luxembourg","lion","staff","event","football","event","ardern","japan","ministry","man","celebration","nigeria","construction","city","serious","police","prime","month","free","zealand","zealand","fire","right","court","prevent"
"8","chinese","control","xi","small","iraq","korean","airport","sánchez","restriction","extend","measure","extend","measure","restriction","restaurant","school","restaurant","restriction","restaurant","flight","travel","remain","allow","lift","august","flight","government","infection","island","quarantine","authority","island","tourism","greece","flight","negative","surge","destination","hotel","widely","remove","service","switzerland","el","manage","cook","market","may","vaccination","tedros","tax","affect","police","february","emergency","emergency","security","police","court","protester","crowd","life","life","immunity","liberal","portugals","australias","modi","climb","measure","olympic","power","eu","von","team","bettel","attend","organiser","host","australian","sri","growth","tokyo","batch","asylum","zhang","saturday","county","diabetes","green","winter","accord","train","describe","fear","rioter","conservative","rio","since"
"9","visitor","travel","team","taiwan","prevent","official","palestinian","restriction","emergency","sunday","national","party","will","mask","restriction","june","ease","june","allow","june","restriction","july","open","flight","flight","spanish","tourism","tourism","travel","country","spain","passenger","arrival","kingdom","test","country","arrival","child","corridor","week","secretary","right","present","return","thailand","country","industry","fall","one","incident","find","party","worker","authority","declare","appeal","response","court","west","minister","party","wale","social","protest","island","worth","return","enter","positive","vote","sponsor","spend","role","venue","cap","member","emergency","test","field","zealand","zealand","auckland","batch","lot","prime","break","victoria","sydney","mask","ideology","government","soon","austrias","effort","two","night","czech","sputnik","team"
"10","public","china","send","travel","north","party","quarantine","citizen","country","embassy","extend","citizen","child","end","plan","open","june","lift","ease","allow","monday","cafe","july","ease","list","country","foreign","country","croatia","register","island","case","greek","abroad","land","foreign","hospitalisation","state","visitor","el","travel","passenger","celebration","quarantine","international","foreign","travel","africa","pilot","handle","rutte","target","athlete","answer","healthcare","party","selfisolating","ministry","launch","dutch","opposition","drink","wear","change","premier","civil","suspend","law","japanese","everest","game","due","system","japanese","safety","spectator","trust","ceremony","track","athlete","game","zealand","rovi","dos","pilgrim","fast","protester","surgery","protest","let","amsterdam","mean","curb","immunisation","support","arrest","ministry","cover","vaccination"
