"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","case","disease","transmission","tedros","organization","nhs","hancock","chancellor","aid","navy","chinese","china","china","china","china","china","drug","drug","vaccine","vaccine","vaccine","vaccine","vaccine","trial","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","dos","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","eu","vaccine","dos","vaccine","dos","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","dos","dos","vaccine","vaccine","dos","dos","dos","dos","dos","vaccine","dos","dos","dos","dos","dos","dos","country","supply","airlift","country","gene","blood","ireland","executive","scotland","scotland","scotland"
"2","health","vaccine","may","organization","director","vaccine","nhs","support","chancellor","test","million","chinese","organization","drug","evidence","organization","china","vaccine","drug","global","beijing","china","china","drug","trial","trial","trial","china","trial","trial","trial","trial","trial","trial","trial","use","drug","trial","trial","use","trial","pfizer","trial","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","vaccine","dos","dos","dos","dos","dos","dos","vaccine","dos","vaccine","dos","vaccine","dos","dos","dos","dos","dos","dos","dos","vaccine","vaccine","dos","dos","vaccine","vaccine","vaccine","vaccine","vaccine","dos","vaccine","vaccine","country","vaccine","world","vaccine","brazils","country","country","white","study","sale","northern","northern","event","sturgeon","case"
"3","infect","may","health","case","health","research","respond","can","humanitarian","uae","show","african","wuhan","world","wuhan","world","vaccine","hydroxychloroquine","trial","tedros","drug","beijing","trial","vaccine","development","immune","mayor","us","phase","astrazeneca","develop","dream","astrazeneca","covax","clinical","wisconsin","trial","study","clinical","trial","dos","trial","pfizer","astrazeneca","pfizer","pfizer","approval","moderna","vaccination","pfizer","trial","pfizer","astrazeneca","covax","astrazeneca","astrazeneca","astrazeneca","covax","sputnik","eu","export","eu","million","covax","sputnik","supply","waiver","supply","supply","supply","million","world","global","million","covax","supply","administer","shot","country","moderna","administer","blood","country","johnson","vaccine","africa","vaccine","country","dos","global","global","finance","global","profit","plan","passport","identify","england","omicron"
"4","risk","case","ryan","patient","tedros","uk","action","sunak","un","country","dubai","evidence","donald","chinese","pompeo","chinese","hydroxychloroquine","patient","china","eu","trial","market","chinese","organization","develop","scientist","bike","produce","russia","dos","plasma","commission","participant","company","dos","study","experimental","clinical","develop","research","drug","dos","moderna","trial","vaccination","develop","ema","approve","vaccinate","vaccinate","vaccination","supply","pfizer","astrazeneca","use","shot","covax","astrazeneca","eu","sputnik","dos","supply","receive","eu","pfizer","receive","patent","waiver","production","astrazeneca","supply","million","million","shot","country","china","china","astrazeneca","million","shot","johnson","africa","eu","country","run","covax","country","global","vaccine","pakistan","north","share","emission","university","vote","sturgeon","case","malaria","total"
"5","transmission","spread","case","adhanom","expert","global","help","lose","selfemployed","aid","ren","africa","chinese","app","app","beijing","trump","trump","hydroxychloroquine","china","china","company","remdesivir","china","volunteer","tedros","telegraph","beijing","mexico","effective","clinical","covax","oxford","participant","candidate","drug","remdesivir","drug","bolsonaro","pollution","antibody","biontech","dos","oxford","approval","trial","vaccination","regulator","pfizerbiontech","vaccination","sinovac","million","eu","supply","million","covax","receive","pfizer","receive","supply","astrazeneca","covax","sputnik","pfizer","million","sputnik","production","company","eu","global","astrazeneca","leader","world","donate","us","million","astrazeneca","eu","moderna","country","jab","country","citizen","africa","africa","country","global","export","poor","dos","brown","poor","cell","approve","future","aboriginal","transmission","meet","confirm"
"6","may","expert","disease","country","sick","ensure","ensure","need","fund","world","world","december","world","health","virus","research","general","china","summit","chinese","hydroxychloroquine","trial","drug","clinical","chinese","develop","cuban","global","approval","company","china","develop","phase","world","procurement","develop","treatment","develop","dos","eu","may","company","effective","effective","approve","approval","pfizerbiontech","pfizer","first","supply","efficacy","india","supply","company","shot","eu","shot","receive","covax","million","european","export","deliver","india","covax","china","us","shot","nation","company","covax","covax","organization","africa","million","country","supply","million","covax","supply","shot","eu","population","amp","african","global","africa","world","global","potential","eu","global","genetic","covax","inquiry","scotlands","trace","nicola","bring"
"7","disease","transmission","ghebreyesus","chief","pandemic","nurse","health","pay","organisation","scale","offer","market","hydroxychloroquine","remdesivir","us","us","trade","organization","treatment","organization","dos","food","clinical","global","say","chinese","british","indigenous","russian","mexico","fda","dos","develop","develop","research","dr","study","immune","volunteer","satellite","bolsonaro","professor","develop","vaccination","develop","receive","receive","pfizerbiontech","receive","receive","supply","company","delivery","million","covax","pfizer","pfizer","country","agency","astrazeneca","supply","astrazeneca","end","production","global","company","pfizer","biden","reuters","sputnik","production","johnson","nation","supply","supply","oxygen","million","reuters","profit","million","dose","rich","brazil","supply","global","world","organization","poor","site","fund","save","deal","turn","cost","prepare","home","ukhsa","case","england"
"8","virus","pandemic","world","disease","general","pay","staff","ensure","launch","budget","save","trump","study","evidence","genetic","evidence","administration","covid","us","adhanom","market","chinese","hong","world","company","volunteer","justice","world","russias","deal","drug","buy","volunteer","latin","develop","trial","dos","pause","pazuello","approve","vaccination","say","company","dose","regulator","vaccination","pfizer","receive","jab","approval","turkey","astrazeneca","production","country","sinovac","delivery","country","johnson","million","shot","covax","moderna","european","export","vaccinate","deliver","supply","manufacture","poor","deliver","world","summit","africa","ship","delivery","receive","covax","donate","produce","astrazeneca","nation","administer","jab","europe","population","target","poor","supply","ensure","vaccine","world","dos","lung","cause","billion","meet","link","link","big"
"9","symptom","virus","dr","world","risk","world","can","emergency","support","level","online","food","us","donald","lab","burundi","organization","treatment","trump","drug","say","tedros","stock","tedros","candidate","dos","hope","supply","dos","potential","administration","volunteer","clinical","safety","potential","remdesivir","patient","johnson","brazilian","develop","pazuello","sahin","vaccination","moderna","mhra","approve","drug","biontech","pfizer","dose","pfizer","approve","european","deal","africa","africa","million","sputnik","approve","delivery","commission","shipment","russia","scheme","population","delivery","china","eu","us","russia","india","biden","country","delivery","johnson","house","receive","produce","production","global","receive","population","africa","eu","tedros","population","south","covax","world","world","organization","need","country","life","passport","scheme","contact","javid","nicola"
"10","infection","dr","organization","expert","ghebreyesus","full","face","help","effort","healthcare","risk","french","fund","wuhan","organization","vaccine","senior","trial","organization","health","chinese","drug","security","un","shattock","available","immune","trial","company","tedros","potential","eu","pause","clinical","medicine","treatment","trump","phase","china","president","study","us","candidate","pfizer","regulatory","first","approve","medicine","approve","moderna","million","eu","export","secure","trial","sputnik","sputnik","million","russias","deliver","contract","india","country","astrazeneca","russian","shot","million","us","develop","country","sputnik","joe","poor","next","administer","moderna","country","sputnik","administer","booster","bn","supply","clot","taiwan","income","donate","astrazeneca","nation","population","financial","vaccine","supply","cause","critical","paper","venue","sturgeon","contact","coronavirus"
