k,start,end
1,2020-02-22,2020-02-28
1,2020-03-14,2020-03-20
1,2020-03-21,2020-03-27
1,2020-12-12,2020-12-18
1,2021-03-23,2021-03-26
1,2021-04-10,2021-04-14
1,2021-05-01,2021-05-07
2,2020-02-15,2020-02-21
2,2020-02-29,2020-03-06
2,2020-03-14,2020-03-20
2,2020-07-18,2020-07-24
2,2020-12-12,2020-12-18
3,2020-02-01,2020-02-07
3,2020-02-22,2020-02-28
3,2020-02-29,2020-03-06
3,2020-03-28,2020-04-03
3,2020-04-11,2020-04-17
3,2020-07-18,2020-07-24
3,2020-08-08,2020-08-14
3,2020-08-22,2020-08-28
3,2020-09-05,2020-09-11
3,2020-11-07,2020-11-13
3,2021-01-23,2021-01-29
3,2021-03-13,2021-03-19
4,2020-02-01,2020-02-07
4,2020-02-29,2020-03-06
4,2020-03-14,2020-03-20
4,2020-06-27,2020-07-03
4,2020-07-18,2020-07-24
4,2020-12-19,2020-12-23
4,2021-01-16,2021-01-22
4,2021-01-23,2021-01-29
4,2021-04-24,2021-04-30
5,2020-02-15,2020-02-21
5,2020-02-22,2020-02-28
5,2020-03-14,2020-03-20
5,2020-04-04,2020-04-10
5,2020-09-26,2020-10-02
5,2021-03-23,2021-03-26
5,2021-07-10,2021-07-15
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-14,2020-03-20
6,2020-07-18,2020-07-24
6,2020-08-08,2020-08-14
6,2020-09-26,2020-10-02
6,2021-07-27,2021-07-30
7,2020-03-14,2020-03-20
7,2020-07-18,2020-07-24
7,2021-01-03,2021-01-08
7,2021-04-18,2021-04-23
7,2021-07-27,2021-07-30
8,2020-02-22,2020-02-28
8,2020-02-29,2020-03-06
8,2020-03-07,2020-03-13
8,2020-06-13,2020-06-19
8,2020-08-08,2020-08-14
8,2021-01-23,2021-01-29
9,2020-02-22,2020-02-28
9,2020-03-07,2020-03-13
9,2020-09-05,2020-09-11
9,2020-10-10,2020-10-16
9,2021-07-27,2021-07-30
10,2020-02-01,2020-02-07
10,2020-02-22,2020-02-28
10,2020-02-29,2020-03-06
10,2020-03-07,2020-03-13
10,2020-03-14,2020-03-20
10,2020-03-21,2020-03-27
10,2020-08-15,2020-08-21
10,2020-11-28,2020-12-04
10,2020-12-05,2020-12-11
10,2021-03-29,2021-04-01
11,2020-02-01,2020-02-07
11,2020-02-29,2020-03-06
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-12-12,2020-12-18
11,2021-01-23,2021-01-29
11,2021-07-27,2021-07-30
12,2020-02-22,2020-02-28
12,2020-03-07,2020-03-13
12,2020-03-21,2020-03-27
12,2020-04-04,2020-04-10
12,2020-05-02,2020-05-08
12,2020-05-09,2020-05-15
12,2020-06-13,2020-06-19
12,2020-07-18,2020-07-24
12,2020-11-07,2020-11-13
12,2021-01-16,2021-01-22
12,2021-01-30,2021-02-05
13,2020-02-29,2020-03-06
13,2020-03-14,2020-03-20
13,2020-04-04,2020-04-10
13,2020-11-07,2020-11-13
14,2020-03-14,2020-03-20
14,2020-04-04,2020-04-10
14,2020-05-23,2020-05-29
14,2020-07-18,2020-07-24
14,2020-08-29,2020-09-04
14,2020-11-07,2020-11-13
14,2020-12-19,2020-12-23
14,2021-01-23,2021-01-29
14,2021-02-06,2021-02-12
